station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MOD;20.06.1996 00:00;1.4;;
MOD;21.06.1996 00:00;13.3;;
MOD;22.06.1996 00:00;24.1;;
MOD;23.06.1996 00:00;0;;
MOD;24.06.1996 00:00;0;;
MOD;25.06.1996 00:00;0;;
MOD;26.06.1996 00:00;2.7;;
MOD;27.06.1996 00:00;0;;
MOD;28.06.1996 00:00;0;;
MOD;29.06.1996 00:00;0;;
MOD;30.06.1996 00:00;0.2;;
MOD;01.07.1996 00:00;1;;
MOD;02.07.1996 00:00;1.6;;
MOD;03.07.1996 00:00;0;;
MOD;04.07.1996 00:00;3.3;;
MOD;05.07.1996 00:00;27.2;;
MOD;06.07.1996 00:00;12.8;;
MOD;07.07.1996 00:00;62.3;;
MOD;08.07.1996 00:00;20;;
MOD;09.07.1996 00:00;0.4;;
MOD;10.07.1996 00:00;6.4;;
MOD;11.07.1996 00:00;0;;
MOD;12.07.1996 00:00;0;;
MOD;13.07.1996 00:00;0;;
MOD;14.07.1996 00:00;0;;
MOD;15.07.1996 00:00;0;;
MOD;16.07.1996 00:00;0;;
MOD;17.07.1996 00:00;0;;
MOD;18.07.1996 00:00;0;;
MOD;19.07.1996 00:00;0;;
MOD;20.07.1996 00:00;0;;
MOD;21.07.1996 00:00;0;;
MOD;22.07.1996 00:00;0;;
MOD;23.07.1996 00:00;7.5;;
MOD;24.07.1996 00:00;0;;
MOD;25.07.1996 00:00;0;;
MOD;26.07.1996 00:00;0;;
MOD;27.07.1996 00:00;0.4;;
MOD;28.07.1996 00:00;0;;
MOD;29.07.1996 00:00;0;;
MOD;30.07.1996 00:00;0;;
MOD;31.07.1996 00:00;0;;
MOD;01.08.1996 00:00;0;;
MOD;02.08.1996 00:00;8.7;;
MOD;03.08.1996 00:00;9.3;;
MOD;04.08.1996 00:00;0;;
MOD;05.08.1996 00:00;6.3;;
MOD;06.08.1996 00:00;11.1;;
MOD;07.08.1996 00:00;3.5;;
MOD;08.08.1996 00:00;0;;
MOD;09.08.1996 00:00;0;;
MOD;10.08.1996 00:00;20.9;;
MOD;11.08.1996 00:00;19.7;;
MOD;12.08.1996 00:00;6.6;;
MOD;13.08.1996 00:00;5.7;;
MOD;14.08.1996 00:00;1;;
MOD;15.08.1996 00:00;0;;
MOD;16.08.1996 00:00;0;;
MOD;17.08.1996 00:00;0;;
MOD;18.08.1996 00:00;0;;
MOD;19.08.1996 00:00;10.1;;
MOD;20.08.1996 00:00;10.8;;
MOD;21.08.1996 00:00;3.5;;
MOD;22.08.1996 00:00;18.6;;
MOD;23.08.1996 00:00;6.3;;
MOD;24.08.1996 00:00;5.4;;
MOD;25.08.1996 00:00;0.8;;
MOD;26.08.1996 00:00;1.4;;
MOD;27.08.1996 00:00;11.5;;
MOD;28.08.1996 00:00;0.8;;
MOD;29.08.1996 00:00;0.2;;
MOD;30.08.1996 00:00;0;;
MOD;31.08.1996 00:00;0;;
MOD;01.09.1996 00:00;0;;
MOD;02.09.1996 00:00;0;;
MOD;03.09.1996 00:00;0;;
MOD;04.09.1996 00:00;0;;
MOD;05.09.1996 00:00;0;;
MOD;06.09.1996 00:00;0;;
MOD;07.09.1996 00:00;0;;
MOD;08.09.1996 00:00;0;;
MOD;09.09.1996 00:00;0;;
MOD;10.09.1996 00:00;0;;
MOD;11.09.1996 00:00;0;;
MOD;12.09.1996 00:00;7.3;;
MOD;13.09.1996 00:00;13.3;;
MOD;14.09.1996 00:00;0;;
MOD;15.09.1996 00:00;0;;
MOD;16.09.1996 00:00;0;;
MOD;17.09.1996 00:00;0;;
MOD;18.09.1996 00:00;3.5;;
MOD;19.09.1996 00:00;8;;
MOD;20.09.1996 00:00;4.7;;
MOD;21.09.1996 00:00;3.5;;
MOD;22.09.1996 00:00;6.7;;
MOD;23.09.1996 00:00;1.9;;
MOD;24.09.1996 00:00;5.8;;
MOD;25.09.1996 00:00;0;;
MOD;26.09.1996 00:00;0;;
MOD;27.09.1996 00:00;4;;
MOD;28.09.1996 00:00;3.5;;
MOD;29.09.1996 00:00;0;;
MOD;30.09.1996 00:00;0;;
MOD;01.10.1996 00:00;6.5;;
MOD;02.10.1996 00:00;1;;
MOD;03.10.1996 00:00;0;;
MOD;04.10.1996 00:00;2;;
MOD;05.10.1996 00:00;1;;
MOD;06.10.1996 00:00;0;;
MOD;07.10.1996 00:00;0.5;;
MOD;08.10.1996 00:00;2.5;;
MOD;09.10.1996 00:00;1;;
MOD;10.10.1996 00:00;0;;
MOD;11.10.1996 00:00;0;;
MOD;12.10.1996 00:00;0;;
MOD;13.10.1996 00:00;0;;
MOD;14.10.1996 00:00;0;;
MOD;15.10.1996 00:00;30;;
MOD;16.10.1996 00:00;31;;
MOD;17.10.1996 00:00;5;;
MOD;18.10.1996 00:00;3.5;;
MOD;19.10.1996 00:00;10;;
MOD;20.10.1996 00:00;3;;
MOD;21.10.1996 00:00;9;;
MOD;22.10.1996 00:00;0;;
MOD;23.10.1996 00:00;0;;
MOD;24.10.1996 00:00;0;;
MOD;25.10.1996 00:00;1;;
MOD;26.10.1996 00:00;0;;
MOD;27.10.1996 00:00;0;;
MOD;28.10.1996 00:00;3;;
MOD;29.10.1996 00:00;14;;
MOD;30.10.1996 00:00;0;;
MOD;31.10.1996 00:00;7;;
MOD;01.11.1996 00:00;4;;
MOD;02.11.1996 00:00;0;;
MOD;03.11.1996 00:00;0;;
MOD;04.11.1996 00:00;12;;
MOD;05.11.1996 00:00;13;;
MOD;06.11.1996 00:00;1.5;;
MOD;07.11.1996 00:00;18;;
MOD;08.11.1996 00:00;0;;
MOD;09.11.1996 00:00;0;;
MOD;10.11.1996 00:00;5;;
MOD;11.11.1996 00:00;7;;
MOD;12.11.1996 00:00;36;;
MOD;13.11.1996 00:00;13;;
MOD;14.11.1996 00:00;1;;
MOD;15.11.1996 00:00;0;;
MOD;16.11.1996 00:00;0;;
MOD;17.11.1996 00:00;0;;
MOD;18.11.1996 00:00;15;;
MOD;19.11.1996 00:00;5;;
MOD;20.11.1996 00:00;10;;
MOD;21.11.1996 00:00;2;;
MOD;22.11.1996 00:00;0;;
MOD;23.11.1996 00:00;1.5;;
MOD;24.11.1996 00:00;1.5;;
MOD;25.11.1996 00:00;15;;
MOD;26.11.1996 00:00;11;;
MOD;27.11.1996 00:00;10;;
MOD;28.11.1996 00:00;6;;
MOD;29.11.1996 00:00;45;;
MOD;30.11.1996 00:00;10;;
MOD;01.12.1996 00:00;1.5;;
MOD;02.12.1996 00:00;11;;
MOD;03.12.1996 00:00;0;;
MOD;04.12.1996 00:00;0;;
MOD;05.12.1996 00:00;0;;
MOD;06.12.1996 00:00;0;;
MOD;07.12.1996 00:00;0;;
MOD;08.12.1996 00:00;0;;
MOD;09.12.1996 00:00;0;;
MOD;10.12.1996 00:00;0;;
MOD;11.12.1996 00:00;0;;
MOD;12.12.1996 00:00;2;;
MOD;13.12.1996 00:00;15;;
MOD;14.12.1996 00:00;0.5;;
MOD;15.12.1996 00:00;0;;
MOD;16.12.1996 00:00;0;;
MOD;17.12.1996 00:00;0.5;;
MOD;18.12.1996 00:00;0.8;;
MOD;19.12.1996 00:00;7.5;;
MOD;20.12.1996 00:00;2.5;;
MOD;21.12.1996 00:00;8;;
MOD;22.12.1996 00:00;7.5;;
MOD;23.12.1996 00:00;18;;
MOD;24.12.1996 00:00;0;;
MOD;25.12.1996 00:00;0;;
MOD;26.12.1996 00:00;0;;
MOD;27.12.1996 00:00;0;;
MOD;28.12.1996 00:00;0;;
MOD;29.12.1996 00:00;0;;
MOD;30.12.1996 00:00;0;;
MOD;31.12.1996 00:00;1;;
MOD;01.01.1997 00:00;0.5;;
MOD;02.01.1997 00:00;3;;
MOD;03.01.1997 00:00;0.1;;
MOD;04.01.1997 00:00;0.2;;
MOD;05.01.1997 00:00;0;;
MOD;06.01.1997 00:00;0;;
MOD;07.01.1997 00:00;0;;
MOD;08.01.1997 00:00;0.7;;
MOD;09.01.1997 00:00;8.9;;
MOD;10.01.1997 00:00;0.7;;
MOD;11.01.1997 00:00;0;;
MOD;12.01.1997 00:00;0;;
MOD;13.01.1997 00:00;0;;
MOD;14.01.1997 00:00;0;;
MOD;15.01.1997 00:00;0;;
MOD;16.01.1997 00:00;0;;
MOD;17.01.1997 00:00;0;;
MOD;18.01.1997 00:00;0;;
MOD;19.01.1997 00:00;6.5;;
MOD;20.01.1997 00:00;8.2;;
MOD;21.01.1997 00:00;10;;
MOD;22.01.1997 00:00;11;;
MOD;23.01.1997 00:00;0;;
MOD;24.01.1997 00:00;0;;
MOD;25.01.1997 00:00;0;;
MOD;26.01.1997 00:00;0;;
MOD;27.01.1997 00:00;0.3;;
MOD;28.01.1997 00:00;0.2;;
MOD;29.01.1997 00:00;0;;
MOD;30.01.1997 00:00;0;;
MOD;31.01.1997 00:00;0;;
MOD;01.02.1997 00:00;0;;
MOD;02.02.1997 00:00;0;;
MOD;03.02.1997 00:00;0;;
MOD;04.02.1997 00:00;0;;
MOD;05.02.1997 00:00;5.3;;
MOD;06.02.1997 00:00;0;;
MOD;07.02.1997 00:00;0;;
MOD;08.02.1997 00:00;0;;
MOD;09.02.1997 00:00;0;;
MOD;10.02.1997 00:00;4.2;;
MOD;11.02.1997 00:00;5.2;;
MOD;12.02.1997 00:00;3.7;;
MOD;13.02.1997 00:00;3.5;;
MOD;14.02.1997 00:00;17.6;;
MOD;15.02.1997 00:00;4.6;;
MOD;16.02.1997 00:00;0;;
MOD;17.02.1997 00:00;1.5;;
MOD;18.02.1997 00:00;6.2;;
MOD;19.02.1997 00:00;4.3;;
MOD;20.02.1997 00:00;6.2;;
MOD;21.02.1997 00:00;0;;
MOD;22.02.1997 00:00;0;;
MOD;23.02.1997 00:00;0.1;;
MOD;24.02.1997 00:00;7.2;;
MOD;25.02.1997 00:00;13.2;;
MOD;26.02.1997 00:00;14.2;;
MOD;27.02.1997 00:00;5.2;;
MOD;28.02.1997 00:00;0;;
MOD;01.03.1997 00:00;0;;
MOD;02.03.1997 00:00;0;;
MOD;03.03.1997 00:00;0;;
MOD;04.03.1997 00:00;2.5;;
MOD;05.03.1997 00:00;3.4;;
MOD;06.03.1997 00:00;0;;
MOD;07.03.1997 00:00;0;;
MOD;08.03.1997 00:00;0;;
MOD;09.03.1997 00:00;0;;
MOD;10.03.1997 00:00;0;;
MOD;11.03.1997 00:00;0;;
MOD;12.03.1997 00:00;0;;
MOD;13.03.1997 00:00;0;;
MOD;14.03.1997 00:00;0.3;;
MOD;15.03.1997 00:00;0.4;;
MOD;16.03.1997 00:00;0;;
MOD;17.03.1997 00:00;0;;
MOD;18.03.1997 00:00;2.5;;
MOD;19.03.1997 00:00;16.3;;
MOD;20.03.1997 00:00;0.3;;
MOD;21.03.1997 00:00;0;;
MOD;22.03.1997 00:00;0;;
MOD;23.03.1997 00:00;3.5;;
MOD;24.03.1997 00:00;0;;
MOD;25.03.1997 00:00;1;;
MOD;26.03.1997 00:00;0;;
MOD;27.03.1997 00:00;0.4;;
MOD;28.03.1997 00:00;9.6;;
MOD;29.03.1997 00:00;2.4;;
MOD;30.03.1997 00:00;0;;
MOD;31.03.1997 00:00;0;;
MOD;01.04.1997 00:00;0;;
MOD;02.04.1997 00:00;0;;
MOD;03.04.1997 00:00;2.1;;
MOD;04.04.1997 00:00;0.2;;
MOD;05.04.1997 00:00;5.3;;
MOD;06.04.1997 00:00;4.3;;
MOD;07.04.1997 00:00;0;;
MOD;08.04.1997 00:00;0;;
MOD;09.04.1997 00:00;0;;
MOD;10.04.1997 00:00;0;;
MOD;11.04.1997 00:00;2.9;;
MOD;12.04.1997 00:00;0;;
MOD;13.04.1997 00:00;0;;
MOD;14.04.1997 00:00;0;;
MOD;15.04.1997 00:00;0;;
MOD;16.04.1997 00:00;0;;
MOD;17.04.1997 00:00;0;;
MOD;18.04.1997 00:00;0;;
MOD;19.04.1997 00:00;3.1;;
MOD;20.04.1997 00:00;0;;
MOD;21.04.1997 00:00;0;;
MOD;22.04.1997 00:00;0;;
MOD;23.04.1997 00:00;0;;
MOD;24.04.1997 00:00;0;;
MOD;25.04.1997 00:00;8.9;;
MOD;26.04.1997 00:00;20.7;;
MOD;27.04.1997 00:00;4.6;;
MOD;28.04.1997 00:00;14.4;;
MOD;29.04.1997 00:00;27.9;;
MOD;30.04.1997 00:00;1;;
MOD;01.05.1997 00:00;0;;
MOD;02.05.1997 00:00;0;;
MOD;03.05.1997 00:00;0.1;;
MOD;04.05.1997 00:00;0;;
MOD;05.05.1997 00:00;6.7;;
MOD;06.05.1997 00:00;14.2;;
MOD;07.05.1997 00:00;2.7;;
MOD;08.05.1997 00:00;0.1;;
MOD;09.05.1997 00:00;15.8;;
MOD;10.05.1997 00:00;0;;
MOD;11.05.1997 00:00;10;;
MOD;12.05.1997 00:00;6.2;;
MOD;13.05.1997 00:00;0.5;;
MOD;14.05.1997 00:00;0;;
MOD;15.05.1997 00:00;0;;
MOD;16.05.1997 00:00;0.4;;
MOD;17.05.1997 00:00;3.1;;
MOD;18.05.1997 00:00;8.6;;
MOD;19.05.1997 00:00;1.4;;
MOD;20.05.1997 00:00;5.4;;
MOD;21.05.1997 00:00;5.1;;
MOD;22.05.1997 00:00;0.3;;
MOD;23.05.1997 00:00;2.7;;
MOD;24.05.1997 00:00;0;;
MOD;25.05.1997 00:00;0;;
MOD;26.05.1997 00:00;0;;
MOD;27.05.1997 00:00;0;;
MOD;28.05.1997 00:00;0;;
MOD;29.05.1997 00:00;0;;
MOD;30.05.1997 00:00;0;;
MOD;31.05.1997 00:00;0;;
MOD;01.06.1997 00:00;1.1;;
MOD;02.06.1997 00:00;1.3;;
MOD;03.06.1997 00:00;5.2;;
MOD;04.06.1997 00:00;0;;
MOD;05.06.1997 00:00;0;;
MOD;06.06.1997 00:00;0;;
MOD;07.06.1997 00:00;16.2;;
MOD;08.06.1997 00:00;1.1;;
MOD;09.06.1997 00:00;0;;
MOD;10.06.1997 00:00;0;;
MOD;11.06.1997 00:00;1.2;;
MOD;12.06.1997 00:00;2.9;;
MOD;13.06.1997 00:00;9.2;;
MOD;14.06.1997 00:00;10.2;;
MOD;15.06.1997 00:00;0;;
MOD;16.06.1997 00:00;6;;
MOD;17.06.1997 00:00;0;;
MOD;18.06.1997 00:00;0;;
MOD;19.06.1997 00:00;2;;
MOD;20.06.1997 00:00;5.4;;
MOD;21.06.1997 00:00;52.9;;
MOD;22.06.1997 00:00;2.2;;
MOD;23.06.1997 00:00;4;;
MOD;24.06.1997 00:00;3.1;;
MOD;25.06.1997 00:00;4;;
MOD;26.06.1997 00:00;18.7;;
MOD;27.06.1997 00:00;2.6;;
MOD;28.06.1997 00:00;0.2;;
MOD;29.06.1997 00:00;23.9;;
MOD;30.06.1997 00:00;1.2;;
MOD;01.07.1997 00:00;0.4;;
MOD;02.07.1997 00:00;6.1;;
MOD;03.07.1997 00:00;9.2;;
MOD;04.07.1997 00:00;6;;
MOD;05.07.1997 00:00;18.8;;
MOD;06.07.1997 00:00;2.7;;
MOD;07.07.1997 00:00;0;;
MOD;08.07.1997 00:00;0;;
MOD;09.07.1997 00:00;0;;
MOD;10.07.1997 00:00;4.3;;
MOD;11.07.1997 00:00;27.6;;
MOD;12.07.1997 00:00;1.9;;
MOD;13.07.1997 00:00;0.5;;
MOD;14.07.1997 00:00;14.9;;
MOD;15.07.1997 00:00;0;;
MOD;16.07.1997 00:00;0;;
MOD;17.07.1997 00:00;8.4;;
MOD;18.07.1997 00:00;30;;
MOD;19.07.1997 00:00;2.9;;
MOD;20.07.1997 00:00;0.6;;
MOD;21.07.1997 00:00;0;;
MOD;22.07.1997 00:00;2.9;;
MOD;23.07.1997 00:00;0.7;;
MOD;24.07.1997 00:00;6.3;;
MOD;25.07.1997 00:00;18;;
MOD;26.07.1997 00:00;3.3;;
MOD;27.07.1997 00:00;0;;
MOD;28.07.1997 00:00;0;;
MOD;29.07.1997 00:00;0;;
MOD;30.07.1997 00:00;0;;
MOD;31.07.1997 00:00;3.9;;
MOD;01.08.1997 00:00;7.5;;
MOD;02.08.1997 00:00;1.6;;
MOD;03.08.1997 00:00;0;;
MOD;04.08.1997 00:00;0;;
MOD;05.08.1997 00:00;1.6;;
MOD;06.08.1997 00:00;0.3;;
MOD;07.08.1997 00:00;10.5;;
MOD;08.08.1997 00:00;0;;
MOD;09.08.1997 00:00;0;;
MOD;10.08.1997 00:00;0;;
MOD;11.08.1997 00:00;0;;
MOD;12.08.1997 00:00;0;;
MOD;13.08.1997 00:00;0;;
MOD;14.08.1997 00:00;0;;
MOD;15.08.1997 00:00;0;;
MOD;16.08.1997 00:00;5.7;;
MOD;17.08.1997 00:00;1.9;;
MOD;18.08.1997 00:00;0;;
MOD;19.08.1997 00:00;0;;
MOD;20.08.1997 00:00;0;;
MOD;21.08.1997 00:00;0;;
MOD;22.08.1997 00:00;0;;
MOD;23.08.1997 00:00;0;;
MOD;24.08.1997 00:00;0;;
MOD;25.08.1997 00:00;3.4;;
MOD;26.08.1997 00:00;0.1;;
MOD;27.08.1997 00:00;8.2;;
MOD;28.08.1997 00:00;23.1;;
MOD;29.08.1997 00:00;1.7;;
MOD;30.08.1997 00:00;6.8;;
MOD;31.08.1997 00:00;0;;
MOD;01.09.1997 00:00;5.2;;
MOD;02.09.1997 00:00;33.1;;
MOD;03.09.1997 00:00;0.3;;
MOD;04.09.1997 00:00;0;;
MOD;05.09.1997 00:00;0.1;;
MOD;06.09.1997 00:00;1.4;;
MOD;07.09.1997 00:00;0;;
MOD;08.09.1997 00:00;0;;
MOD;09.09.1997 00:00;0;;
MOD;10.09.1997 00:00;0;;
MOD;11.09.1997 00:00;0;;
MOD;12.09.1997 00:00;27.9;;
MOD;13.09.1997 00:00;7.9;;
MOD;14.09.1997 00:00;0;;
MOD;15.09.1997 00:00;0;;
MOD;16.09.1997 00:00;0;;
MOD;17.09.1997 00:00;0;;
MOD;18.09.1997 00:00;0;;
MOD;19.09.1997 00:00;0;;
MOD;20.09.1997 00:00;0;;
MOD;21.09.1997 00:00;0;;
MOD;22.09.1997 00:00;0;;
MOD;23.09.1997 00:00;0;;
MOD;24.09.1997 00:00;0;;
MOD;25.09.1997 00:00;0;;
MOD;26.09.1997 00:00;0;;
MOD;27.09.1997 00:00;0;;
MOD;28.09.1997 00:00;0;;
MOD;29.09.1997 00:00;0;;
MOD;30.09.1997 00:00;0;;
MOD;01.10.1997 00:00;0;;
MOD;02.10.1997 00:00;0;;
MOD;03.10.1997 00:00;0;;
MOD;04.10.1997 00:00;0;;
MOD;05.10.1997 00:00;0;;
MOD;06.10.1997 00:00;0;;
MOD;07.10.1997 00:00;11.8;;
MOD;08.10.1997 00:00;0;;
MOD;09.10.1997 00:00;0;;
MOD;10.10.1997 00:00;15.5;;
MOD;11.10.1997 00:00;8.4;;
MOD;12.10.1997 00:00;26.2;;
MOD;13.10.1997 00:00;7.7;;
MOD;14.10.1997 00:00;10.9;;
MOD;15.10.1997 00:00;6;;
MOD;16.10.1997 00:00;1.8;;
MOD;17.10.1997 00:00;0;;
MOD;18.10.1997 00:00;0;;
MOD;19.10.1997 00:00;0;;
MOD;20.10.1997 00:00;0;;
MOD;21.10.1997 00:00;0.2;;
MOD;22.10.1997 00:00;0;;
MOD;23.10.1997 00:00;0;;
MOD;24.10.1997 00:00;0;;
MOD;25.10.1997 00:00;0;;
MOD;26.10.1997 00:00;0;;
MOD;27.10.1997 00:00;0;;
MOD;28.10.1997 00:00;0;;
MOD;29.10.1997 00:00;0;;
MOD;30.10.1997 00:00;0;;
MOD;31.10.1997 00:00;0;;
MOD;01.11.1997 00:00;0;;
MOD;02.11.1997 00:00;0;;
MOD;03.11.1997 00:00;0;;
MOD;04.11.1997 00:00;5.8;;
MOD;05.11.1997 00:00;3.5;;
MOD;06.11.1997 00:00;0.8;;
MOD;07.11.1997 00:00;0.2;;
MOD;08.11.1997 00:00;6.3;;
MOD;09.11.1997 00:00;7.6;;
MOD;10.11.1997 00:00;6.7;;
MOD;11.11.1997 00:00;7.4;;
MOD;12.11.1997 00:00;14;;
MOD;13.11.1997 00:00;0;;
MOD;14.11.1997 00:00;0;;
MOD;15.11.1997 00:00;5.4;;
MOD;16.11.1997 00:00;0.9;;
MOD;17.11.1997 00:00;0.1;;
MOD;18.11.1997 00:00;0;;
MOD;19.11.1997 00:00;6.5;;
MOD;20.11.1997 00:00;3.9;;
MOD;21.11.1997 00:00;0;;
MOD;22.11.1997 00:00;0;;
MOD;23.11.1997 00:00;0;;
MOD;24.11.1997 00:00;0;;
MOD;25.11.1997 00:00;0;;
MOD;26.11.1997 00:00;0;;
MOD;27.11.1997 00:00;0;;
MOD;28.11.1997 00:00;4.7;;
MOD;29.11.1997 00:00;2.1;;
MOD;30.11.1997 00:00;9.9;;
MOD;01.12.1997 00:00;8.2;;
MOD;02.12.1997 00:00;8;;
MOD;03.12.1997 00:00;4.4;;
MOD;04.12.1997 00:00;0.5;;
MOD;05.12.1997 00:00;0;;
MOD;06.12.1997 00:00;0;;
MOD;07.12.1997 00:00;0;;
MOD;08.12.1997 00:00;0;;
MOD;09.12.1997 00:00;0.3;;
MOD;10.12.1997 00:00;6.6;;
MOD;11.12.1997 00:00;31.6;;
MOD;12.12.1997 00:00;19.6;;
MOD;13.12.1997 00:00;9;;
MOD;14.12.1997 00:00;7.2;;
MOD;15.12.1997 00:00;3.2;;
MOD;16.12.1997 00:00;0;;
MOD;17.12.1997 00:00;0;;
MOD;18.12.1997 00:00;2.9;;
MOD;19.12.1997 00:00;13.1;;
MOD;20.12.1997 00:00;30.8;;
MOD;21.12.1997 00:00;20.5;;
MOD;22.12.1997 00:00;0.4;;
MOD;23.12.1997 00:00;0.3;;
MOD;24.12.1997 00:00;0.6;;
MOD;25.12.1997 00:00;12.8;;
MOD;26.12.1997 00:00;0.4;;
MOD;27.12.1997 00:00;21.1;;
MOD;28.12.1997 00:00;4.9;;
MOD;29.12.1997 00:00;0;;
MOD;30.12.1997 00:00;0.5;;
MOD;31.12.1997 00:00;19.3;;
MOD;01.01.1998 00:00;2;;
MOD;02.01.1998 00:00;10;;
MOD;03.01.1998 00:00;8.3;;
MOD;04.01.1998 00:00;10;;
MOD;05.01.1998 00:00;8.9;;
MOD;06.01.1998 00:00;7.2;;
MOD;07.01.1998 00:00;0;;
MOD;08.01.1998 00:00;0;;
MOD;09.01.1998 00:00;0;;
MOD;10.01.1998 00:00;0;;
MOD;11.01.1998 00:00;0;;
MOD;12.01.1998 00:00;0;;
MOD;13.01.1998 00:00;0;;
MOD;14.01.1998 00:00;0.3;;
MOD;15.01.1998 00:00;4;;
MOD;16.01.1998 00:00;13;;
MOD;17.01.1998 00:00;0.2;;
MOD;18.01.1998 00:00;13;;
MOD;19.01.1998 00:00;18;;
MOD;20.01.1998 00:00;12.3;;
MOD;21.01.1998 00:00;2.4;;
MOD;22.01.1998 00:00;0.3;;
MOD;23.01.1998 00:00;0.1;;
MOD;24.01.1998 00:00;0;;
MOD;25.01.1998 00:00;0;;
MOD;26.01.1998 00:00;0;;
MOD;27.01.1998 00:00;0;;
MOD;28.01.1998 00:00;0;;
MOD;29.01.1998 00:00;0;;
MOD;30.01.1998 00:00;0;;
MOD;31.01.1998 00:00;0;;
MOD;01.02.1998 00:00;0;;
MOD;02.02.1998 00:00;0;;
MOD;03.02.1998 00:00;0;;
MOD;04.02.1998 00:00;0;;
MOD;05.02.1998 00:00;0;;
MOD;06.02.1998 00:00;0;;
MOD;07.02.1998 00:00;2;;
MOD;08.02.1998 00:00;0;;
MOD;09.02.1998 00:00;0;;
MOD;10.02.1998 00:00;0;;
MOD;11.02.1998 00:00;0;;
MOD;12.02.1998 00:00;0;;
MOD;13.02.1998 00:00;0;;
MOD;14.02.1998 00:00;0;;
MOD;15.02.1998 00:00;0;;
MOD;16.02.1998 00:00;0;;
MOD;17.02.1998 00:00;1.2;;
MOD;18.02.1998 00:00;0;;
MOD;19.02.1998 00:00;0;;
MOD;20.02.1998 00:00;0;;
MOD;21.02.1998 00:00;2.9;;
MOD;22.02.1998 00:00;19.5;;
MOD;23.02.1998 00:00;6.1;;
MOD;24.02.1998 00:00;0;;
MOD;25.02.1998 00:00;0;;
MOD;26.02.1998 00:00;0;;
MOD;27.02.1998 00:00;0;;
MOD;28.02.1998 00:00;10.3;;
MOD;01.03.1998 00:00;0.5;;
MOD;02.03.1998 00:00;0;;
MOD;03.03.1998 00:00;0;;
MOD;04.03.1998 00:00;13;;
MOD;05.03.1998 00:00;0.3;;
MOD;06.03.1998 00:00;0;;
MOD;07.03.1998 00:00;13.7;;
MOD;08.03.1998 00:00;12.4;;
MOD;09.03.1998 00:00;0;;
MOD;10.03.1998 00:00;0;;
MOD;11.03.1998 00:00;3.3;;
MOD;12.03.1998 00:00;6.4;;
MOD;13.03.1998 00:00;0;;
MOD;14.03.1998 00:00;0;;
MOD;15.03.1998 00:00;0;;
MOD;16.03.1998 00:00;0;;
MOD;17.03.1998 00:00;0;;
MOD;18.03.1998 00:00;0;;
MOD;19.03.1998 00:00;0.2;;
MOD;20.03.1998 00:00;0.5;;
MOD;21.03.1998 00:00;2;;
MOD;22.03.1998 00:00;0;;
MOD;23.03.1998 00:00;10.5;;
MOD;24.03.1998 00:00;0.5;;
MOD;25.03.1998 00:00;0;;
MOD;26.03.1998 00:00;0;;
MOD;27.03.1998 00:00;0;;
MOD;28.03.1998 00:00;0;;
MOD;29.03.1998 00:00;0;;
MOD;30.03.1998 00:00;0;;
MOD;31.03.1998 00:00;0;;
MOD;01.04.1998 00:00;0;;
MOD;02.04.1998 00:00;7;;
MOD;03.04.1998 00:00;14;;
MOD;04.04.1998 00:00;8;;
MOD;05.04.1998 00:00;1;;
MOD;06.04.1998 00:00;5;;
MOD;07.04.1998 00:00;19;;
MOD;08.04.1998 00:00;2.5;;
MOD;09.04.1998 00:00;3;;
MOD;10.04.1998 00:00;7;;
MOD;11.04.1998 00:00;20;;
MOD;12.04.1998 00:00;9;;
MOD;13.04.1998 00:00;1;;
MOD;14.04.1998 00:00;0;;
MOD;15.04.1998 00:00;11;;
MOD;16.04.1998 00:00;1;;
MOD;17.04.1998 00:00;6;;
MOD;18.04.1998 00:00;20;;
MOD;19.04.1998 00:00;0;;
MOD;20.04.1998 00:00;8;;
MOD;21.04.1998 00:00;0;;
MOD;22.04.1998 00:00;0;;
MOD;23.04.1998 00:00;0.5;;
MOD;24.04.1998 00:00;0;;
MOD;25.04.1998 00:00;3;;
MOD;26.04.1998 00:00;1;;
MOD;27.04.1998 00:00;4;;
MOD;28.04.1998 00:00;2;;
MOD;29.04.1998 00:00;0;;
MOD;30.04.1998 00:00;0;;
MOD;01.05.1998 00:00;3.5;;
MOD;02.05.1998 00:00;0;;
MOD;03.05.1998 00:00;0;;
MOD;04.05.1998 00:00;0;;
MOD;05.05.1998 00:00;0;;
MOD;06.05.1998 00:00;0;;
MOD;07.05.1998 00:00;0;;
MOD;08.05.1998 00:00;0;;
MOD;09.05.1998 00:00;0;;
MOD;10.05.1998 00:00;0;;
MOD;11.05.1998 00:00;0;;
MOD;12.05.1998 00:00;0;;
MOD;13.05.1998 00:00;0;;
MOD;14.05.1998 00:00;0;;
MOD;15.05.1998 00:00;0;;
MOD;16.05.1998 00:00;0;;
MOD;17.05.1998 00:00;0;;
MOD;18.05.1998 00:00;0;;
MOD;19.05.1998 00:00;0;;
MOD;20.05.1998 00:00;0;;
MOD;21.05.1998 00:00;0;;
MOD;22.05.1998 00:00;0;;
MOD;23.05.1998 00:00;0;;
MOD;24.05.1998 00:00;0;;
MOD;25.05.1998 00:00;0;;
MOD;26.05.1998 00:00;3.4;;
MOD;27.05.1998 00:00;16.9;;
MOD;28.05.1998 00:00;3.8;;
