station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SMM;09.09.1902 00:00;0;;
SMM;10.09.1902 00:00;7.4;;
SMM;11.09.1902 00:00;11.1;;
SMM;12.09.1902 00:00;17.6;;
SMM;13.09.1902 00:00;0.4;;
SMM;14.09.1902 00:00;1;;
SMM;15.09.1902 00:00;0;;
SMM;16.09.1902 00:00;0;;
SMM;17.09.1902 00:00;0;;
SMM;18.09.1902 00:00;0;;
SMM;19.09.1902 00:00;0;;
SMM;20.09.1902 00:00;0;;
SMM;21.09.1902 00:00;0;;
SMM;22.09.1902 00:00;0;;
SMM;23.09.1902 00:00;0;;
SMM;24.09.1902 00:00;0;;
SMM;25.09.1902 00:00;0;;
SMM;26.09.1902 00:00;0;;
SMM;27.09.1902 00:00;0;;
SMM;28.09.1902 00:00;2.9;;
SMM;29.09.1902 00:00;0;;
SMM;30.09.1902 00:00;6.4;;
SMM;01.10.1902 00:00;0;;
SMM;02.10.1902 00:00;8.5;;
SMM;03.10.1902 00:00;0;;
SMM;04.10.1902 00:00;3.8;;
SMM;05.10.1902 00:00;4.5;;
SMM;06.10.1902 00:00;3.5;;
SMM;07.10.1902 00:00;8.1;;
SMM;08.10.1902 00:00;0;;
SMM;09.10.1902 00:00;0;;
SMM;10.10.1902 00:00;2.5;;
SMM;11.10.1902 00:00;14.6;;
SMM;12.10.1902 00:00;0;;
SMM;13.10.1902 00:00;0;;
SMM;14.10.1902 00:00;0;;
SMM;15.10.1902 00:00;0;;
SMM;16.10.1902 00:00;6.9;;
SMM;17.10.1902 00:00;0;;
SMM;18.10.1902 00:00;0;;
SMM;19.10.1902 00:00;0;;
SMM;20.10.1902 00:00;0;;
SMM;21.10.1902 00:00;0;;
SMM;22.10.1902 00:00;10.8;;
SMM;23.10.1902 00:00;0;;
SMM;24.10.1902 00:00;0;;
SMM;25.10.1902 00:00;0;;
SMM;26.10.1902 00:00;0;;
SMM;27.10.1902 00:00;0;;
SMM;28.10.1902 00:00;0;;
SMM;29.10.1902 00:00;0;;
SMM;30.10.1902 00:00;0;;
SMM;31.10.1902 00:00;0;;
SMM;01.11.1902 00:00;0;;
SMM;02.11.1902 00:00;0;;
SMM;03.11.1902 00:00;0;;
SMM;04.11.1902 00:00;0;;
SMM;05.11.1902 00:00;0;;
SMM;06.11.1902 00:00;0.2;;
SMM;07.11.1902 00:00;3.1;;
SMM;08.11.1902 00:00;0;;
SMM;09.11.1902 00:00;7;;
SMM;10.11.1902 00:00;0.7;;
SMM;11.11.1902 00:00;0;;
SMM;12.11.1902 00:00;0;;
SMM;13.11.1902 00:00;0;;
SMM;14.11.1902 00:00;0;;
SMM;15.11.1902 00:00;0;;
SMM;16.11.1902 00:00;0;;
SMM;17.11.1902 00:00;0.7;;
SMM;18.11.1902 00:00;0;;
SMM;19.11.1902 00:00;3.7;;
SMM;20.11.1902 00:00;1.9;;
SMM;21.11.1902 00:00;0;;
SMM;22.11.1902 00:00;0;;
SMM;23.11.1902 00:00;0;;
SMM;24.11.1902 00:00;0;;
SMM;25.11.1902 00:00;2.3;;
SMM;26.11.1902 00:00;0;;
SMM;27.11.1902 00:00;0;;
SMM;28.11.1902 00:00;0;;
SMM;29.11.1902 00:00;1.1;;
SMM;30.11.1902 00:00;0;;
SMM;01.12.1902 00:00;1.1;;
SMM;02.12.1902 00:00;0;;
SMM;03.12.1902 00:00;0;;
SMM;04.12.1902 00:00;1.6;;
SMM;05.12.1902 00:00;0;;
SMM;06.12.1902 00:00;0;;
SMM;07.12.1902 00:00;0;;
SMM;08.12.1902 00:00;0;;
SMM;09.12.1902 00:00;0;;
SMM;10.12.1902 00:00;0;;
SMM;11.12.1902 00:00;0;;
SMM;12.12.1902 00:00;0;;
SMM;13.12.1902 00:00;0;;
SMM;14.12.1902 00:00;0;;
SMM;15.12.1902 00:00;0;;
SMM;16.12.1902 00:00;0;;
SMM;17.12.1902 00:00;0.2;;
SMM;18.12.1902 00:00;6.1;;
SMM;19.12.1902 00:00;9.9;;
SMM;20.12.1902 00:00;3.7;;
SMM;21.12.1902 00:00;9.8;;
SMM;22.12.1902 00:00;0;;
SMM;23.12.1902 00:00;0;;
SMM;24.12.1902 00:00;0;;
SMM;25.12.1902 00:00;0;;
SMM;26.12.1902 00:00;0;;
SMM;27.12.1902 00:00;0;;
SMM;28.12.1902 00:00;0;;
SMM;29.12.1902 00:00;2.3;;
SMM;30.12.1902 00:00;42.5;;
SMM;31.12.1902 00:00;0;;
SMM;01.01.1903 00:00;0;;
SMM;02.01.1903 00:00;6;;
SMM;03.01.1903 00:00;0;;
SMM;04.01.1903 00:00;0.3;;
SMM;05.01.1903 00:00;1.4;;
SMM;06.01.1903 00:00;0;;
SMM;07.01.1903 00:00;0;;
SMM;08.01.1903 00:00;0;;
SMM;09.01.1903 00:00;0.5;;
SMM;10.01.1903 00:00;16.6;;
SMM;11.01.1903 00:00;17.9;;
SMM;12.01.1903 00:00;13;;
SMM;13.01.1903 00:00;2;;
SMM;14.01.1903 00:00;0.1;;
SMM;15.01.1903 00:00;0;;
SMM;16.01.1903 00:00;0;;
SMM;17.01.1903 00:00;0;;
SMM;18.01.1903 00:00;0;;
SMM;19.01.1903 00:00;0;;
SMM;20.01.1903 00:00;0;;
SMM;21.01.1903 00:00;0;;
SMM;22.01.1903 00:00;0;;
SMM;23.01.1903 00:00;0;;
SMM;24.01.1903 00:00;0;;
SMM;25.01.1903 00:00;0;;
SMM;26.01.1903 00:00;0;;
SMM;27.01.1903 00:00;0;;
SMM;28.01.1903 00:00;0;;
SMM;29.01.1903 00:00;0;;
SMM;30.01.1903 00:00;0;;
SMM;31.01.1903 00:00;0;;
SMM;01.02.1903 00:00;15.7;;
SMM;02.02.1903 00:00;6.9;;
SMM;03.02.1903 00:00;0;;
SMM;04.02.1903 00:00;0;;
SMM;05.02.1903 00:00;0;;
SMM;06.02.1903 00:00;0;;
SMM;07.02.1903 00:00;0;;
SMM;08.02.1903 00:00;0;;
SMM;09.02.1903 00:00;2.1;;
SMM;10.02.1903 00:00;0;;
SMM;11.02.1903 00:00;0;;
SMM;12.02.1903 00:00;0;;
SMM;13.02.1903 00:00;0;;
SMM;14.02.1903 00:00;0;;
SMM;15.02.1903 00:00;0.3;;
SMM;16.02.1903 00:00;0;;
SMM;17.02.1903 00:00;0;;
SMM;18.02.1903 00:00;0;;
SMM;19.02.1903 00:00;0;;
SMM;20.02.1903 00:00;0;;
SMM;21.02.1903 00:00;0;;
SMM;22.02.1903 00:00;0;;
SMM;23.02.1903 00:00;1.3;;
SMM;24.02.1903 00:00;0;;
SMM;25.02.1903 00:00;0;;
SMM;26.02.1903 00:00;0;;
SMM;27.02.1903 00:00;0;;
SMM;28.02.1903 00:00;1.5;;
SMM;01.03.1903 00:00;0;;
SMM;02.03.1903 00:00;0;;
SMM;03.03.1903 00:00;0;;
SMM;04.03.1903 00:00;0;;
SMM;05.03.1903 00:00;0;;
SMM;06.03.1903 00:00;2;;
SMM;07.03.1903 00:00;0;;
SMM;08.03.1903 00:00;0;;
SMM;09.03.1903 00:00;0;;
SMM;10.03.1903 00:00;0;;
SMM;11.03.1903 00:00;0;;
SMM;12.03.1903 00:00;0;;
SMM;13.03.1903 00:00;0;;
SMM;14.03.1903 00:00;0;;
SMM;15.03.1903 00:00;0;;
SMM;16.03.1903 00:00;0;;
SMM;17.03.1903 00:00;0;;
SMM;18.03.1903 00:00;0;;
SMM;19.03.1903 00:00;0;;
SMM;20.03.1903 00:00;0;;
SMM;21.03.1903 00:00;0;;
SMM;22.03.1903 00:00;0;;
SMM;23.03.1903 00:00;0;;
SMM;24.03.1903 00:00;0;;
SMM;25.03.1903 00:00;0;;
SMM;26.03.1903 00:00;0;;
SMM;27.03.1903 00:00;10.6;;
SMM;28.03.1903 00:00;0;;
SMM;29.03.1903 00:00;1.9;;
SMM;30.03.1903 00:00;0;;
SMM;31.03.1903 00:00;0.6;;
SMM;01.04.1903 00:00;0;;
SMM;02.04.1903 00:00;0;;
SMM;03.04.1903 00:00;0;;
SMM;04.04.1903 00:00;0;;
SMM;05.04.1903 00:00;0;;
SMM;06.04.1903 00:00;0;;
SMM;07.04.1903 00:00;0;;
SMM;08.04.1903 00:00;0.6;;
SMM;09.04.1903 00:00;0;;
SMM;10.04.1903 00:00;0;;
SMM;11.04.1903 00:00;0;;
SMM;12.04.1903 00:00;0;;
SMM;13.04.1903 00:00;0;;
SMM;14.04.1903 00:00;0;;
SMM;15.04.1903 00:00;0;;
SMM;16.04.1903 00:00;4.2;;
SMM;17.04.1903 00:00;0;;
SMM;18.04.1903 00:00;0;;
SMM;19.04.1903 00:00;0;;
SMM;20.04.1903 00:00;0;;
SMM;21.04.1903 00:00;1.1;;
SMM;22.04.1903 00:00;2;;
SMM;23.04.1903 00:00;25.6;;
SMM;24.04.1903 00:00;1.7;;
SMM;25.04.1903 00:00;0.2;;
SMM;26.04.1903 00:00;0;;
SMM;27.04.1903 00:00;0;;
SMM;28.04.1903 00:00;0;;
SMM;29.04.1903 00:00;1.4;;
SMM;30.04.1903 00:00;0;;
SMM;01.05.1903 00:00;6.6;;
SMM;02.05.1903 00:00;23.5;;
SMM;03.05.1903 00:00;0;;
SMM;04.05.1903 00:00;3.9;;
SMM;05.05.1903 00:00;0.1;;
SMM;06.05.1903 00:00;0;;
SMM;07.05.1903 00:00;1.5;;
SMM;08.05.1903 00:00;26.8;;
SMM;09.05.1903 00:00;0.2;;
SMM;10.05.1903 00:00;1.7;;
SMM;11.05.1903 00:00;0;;
SMM;12.05.1903 00:00;2.2;;
SMM;13.05.1903 00:00;1.2;;
SMM;14.05.1903 00:00;0;;
SMM;15.05.1903 00:00;0.3;;
SMM;16.05.1903 00:00;0.1;;
SMM;17.05.1903 00:00;2.9;;
SMM;18.05.1903 00:00;0;;
SMM;19.05.1903 00:00;0;;
SMM;20.05.1903 00:00;0;;
SMM;21.05.1903 00:00;0;;
SMM;22.05.1903 00:00;0;;
SMM;23.05.1903 00:00;0;;
SMM;24.05.1903 00:00;0;;
SMM;25.05.1903 00:00;0;;
SMM;26.05.1903 00:00;0;;
SMM;27.05.1903 00:00;0.2;;
SMM;28.05.1903 00:00;0;;
SMM;29.05.1903 00:00;0;;
SMM;30.05.1903 00:00;0.1;;
SMM;31.05.1903 00:00;0;;
SMM;01.06.1903 00:00;0.2;;
SMM;02.06.1903 00:00;0.3;;
SMM;03.06.1903 00:00;6;;
SMM;04.06.1903 00:00;2.9;;
SMM;05.06.1903 00:00;0;;
SMM;06.06.1903 00:00;0;;
SMM;07.06.1903 00:00;0.6;;
SMM;08.06.1903 00:00;0;;
SMM;09.06.1903 00:00;2.6;;
SMM;10.06.1903 00:00;0.6;;
SMM;11.06.1903 00:00;5.4;;
SMM;12.06.1903 00:00;6;;
SMM;13.06.1903 00:00;20.7;;
SMM;14.06.1903 00:00;20.4;;
SMM;15.06.1903 00:00;0.4;;
SMM;16.06.1903 00:00;0;;
SMM;17.06.1903 00:00;0;;
SMM;18.06.1903 00:00;0;;
SMM;19.06.1903 00:00;1.7;;
SMM;20.06.1903 00:00;13.4;;
SMM;21.06.1903 00:00;3.3;;
SMM;22.06.1903 00:00;0;;
SMM;23.06.1903 00:00;0;;
SMM;24.06.1903 00:00;0;;
SMM;25.06.1903 00:00;0;;
SMM;26.06.1903 00:00;0;;
SMM;27.06.1903 00:00;0;;
SMM;28.06.1903 00:00;0;;
SMM;29.06.1903 00:00;0;;
SMM;30.06.1903 00:00;5.3;;
SMM;01.07.1903 00:00;0;;
SMM;02.07.1903 00:00;0;;
SMM;03.07.1903 00:00;0;;
SMM;04.07.1903 00:00;8.5;;
SMM;05.07.1903 00:00;0;;
SMM;06.07.1903 00:00;2;;
SMM;07.07.1903 00:00;0;;
SMM;08.07.1903 00:00;0;;
SMM;09.07.1903 00:00;0;;
SMM;10.07.1903 00:00;0;;
SMM;11.07.1903 00:00;0;;
SMM;12.07.1903 00:00;0;;
SMM;13.07.1903 00:00;0.2;;
SMM;14.07.1903 00:00;0.3;;
SMM;15.07.1903 00:00;0;;
SMM;16.07.1903 00:00;0;;
SMM;17.07.1903 00:00;2.2;;
SMM;18.07.1903 00:00;0;;
SMM;19.07.1903 00:00;9.7;;
SMM;20.07.1903 00:00;9.8;;
SMM;21.07.1903 00:00;0.2;;
SMM;22.07.1903 00:00;0;;
SMM;23.07.1903 00:00;2.5;;
SMM;24.07.1903 00:00;13;;
SMM;25.07.1903 00:00;0;;
SMM;26.07.1903 00:00;4.1;;
SMM;27.07.1903 00:00;0.5;;
SMM;28.07.1903 00:00;0.2;;
SMM;29.07.1903 00:00;4;;
SMM;30.07.1903 00:00;52.7;;
SMM;31.07.1903 00:00;0;;
SMM;01.08.1903 00:00;0;;
SMM;02.08.1903 00:00;0;;
SMM;03.08.1903 00:00;0;;
SMM;04.08.1903 00:00;0;;
SMM;05.08.1903 00:00;0;;
SMM;06.08.1903 00:00;0;;
SMM;07.08.1903 00:00;0;;
SMM;08.08.1903 00:00;0;;
SMM;09.08.1903 00:00;2.5;;
SMM;10.08.1903 00:00;22.7;;
SMM;11.08.1903 00:00;0;;
SMM;12.08.1903 00:00;4.1;;
SMM;13.08.1903 00:00;3.3;;
SMM;14.08.1903 00:00;1.6;;
SMM;15.08.1903 00:00;30.8;;
SMM;16.08.1903 00:00;0;;
SMM;17.08.1903 00:00;0;;
SMM;18.08.1903 00:00;0;;
SMM;19.08.1903 00:00;24;;
SMM;20.08.1903 00:00;0;;
SMM;21.08.1903 00:00;0;;
SMM;22.08.1903 00:00;0;;
SMM;23.08.1903 00:00;2;;
SMM;24.08.1903 00:00;0;;
SMM;25.08.1903 00:00;5.5;;
SMM;26.08.1903 00:00;0;;
SMM;27.08.1903 00:00;0;;
SMM;28.08.1903 00:00;0;;
SMM;29.08.1903 00:00;0;;
SMM;30.08.1903 00:00;0;;
SMM;31.08.1903 00:00;0;;
SMM;01.09.1903 00:00;0;;
SMM;02.09.1903 00:00;0;;
SMM;03.09.1903 00:00;0;;
SMM;04.09.1903 00:00;0;;
SMM;05.09.1903 00:00;0;;
SMM;06.09.1903 00:00;0;;
SMM;07.09.1903 00:00;0;;
SMM;08.09.1903 00:00;0;;
SMM;09.09.1903 00:00;0;;
SMM;10.09.1903 00:00;0;;
SMM;11.09.1903 00:00;1.4;;
SMM;12.09.1903 00:00;10.1;;
SMM;13.09.1903 00:00;40.2;;
SMM;14.09.1903 00:00;12.4;;
SMM;15.09.1903 00:00;5.6;;
SMM;16.09.1903 00:00;5.6;;
SMM;17.09.1903 00:00;0.3;;
SMM;18.09.1903 00:00;0;;
SMM;19.09.1903 00:00;0;;
SMM;20.09.1903 00:00;0;;
SMM;21.09.1903 00:00;0;;
SMM;22.09.1903 00:00;0;;
SMM;23.09.1903 00:00;0;;
SMM;24.09.1903 00:00;0;;
SMM;25.09.1903 00:00;0;;
SMM;26.09.1903 00:00;0;;
SMM;27.09.1903 00:00;0;;
SMM;28.09.1903 00:00;0;;
SMM;29.09.1903 00:00;0;;
SMM;30.09.1903 00:00;0;;
SMM;01.10.1903 00:00;0;;
SMM;02.10.1903 00:00;4.3;;
SMM;03.10.1903 00:00;0;;
SMM;04.10.1903 00:00;0;;
SMM;05.10.1903 00:00;0;;
SMM;06.10.1903 00:00;0;;
SMM;07.10.1903 00:00;0;;
SMM;08.10.1903 00:00;0;;
SMM;09.10.1903 00:00;22.1;;
SMM;10.10.1903 00:00;0.3;;
SMM;11.10.1903 00:00;0;;
SMM;12.10.1903 00:00;2.2;;
SMM;13.10.1903 00:00;0.3;;
SMM;14.10.1903 00:00;0;;
SMM;15.10.1903 00:00;0.2;;
SMM;16.10.1903 00:00;1;;
SMM;17.10.1903 00:00;0;;
SMM;18.10.1903 00:00;0.1;;
SMM;19.10.1903 00:00;0;;
SMM;20.10.1903 00:00;0;;
SMM;21.10.1903 00:00;0;;
SMM;22.10.1903 00:00;4.7;;
SMM;23.10.1903 00:00;8;;
SMM;24.10.1903 00:00;0;;
SMM;25.10.1903 00:00;0;;
SMM;26.10.1903 00:00;0.1;;
SMM;27.10.1903 00:00;1.7;;
SMM;28.10.1903 00:00;1;;
SMM;29.10.1903 00:00;18;;
SMM;30.10.1903 00:00;35.3;;
SMM;31.10.1903 00:00;6.3;;
SMM;01.11.1903 00:00;1.3;;
SMM;02.11.1903 00:00;0;;
SMM;03.11.1903 00:00;0;;
SMM;04.11.1903 00:00;0;;
SMM;05.11.1903 00:00;0;;
SMM;06.11.1903 00:00;0;;
SMM;07.11.1903 00:00;0;;
SMM;08.11.1903 00:00;0;;
SMM;09.11.1903 00:00;0;;
SMM;10.11.1903 00:00;0;;
SMM;11.11.1903 00:00;5.7;;
SMM;12.11.1903 00:00;0;;
SMM;13.11.1903 00:00;0.3;;
SMM;14.11.1903 00:00;0;;
SMM;15.11.1903 00:00;0;;
SMM;16.11.1903 00:00;3.9;;
SMM;17.11.1903 00:00;11.3;;
SMM;18.11.1903 00:00;0;;
SMM;19.11.1903 00:00;4.7;;
SMM;20.11.1903 00:00;0;;
SMM;21.11.1903 00:00;3.9;;
SMM;22.11.1903 00:00;1.1;;
SMM;23.11.1903 00:00;0;;
SMM;24.11.1903 00:00;0;;
SMM;25.11.1903 00:00;0;;
SMM;26.11.1903 00:00;5.1;;
SMM;27.11.1903 00:00;0.6;;
SMM;28.11.1903 00:00;5;;
SMM;29.11.1903 00:00;2.2;;
SMM;30.11.1903 00:00;0;;
SMM;01.12.1903 00:00;0.6;;
SMM;02.12.1903 00:00;0.7;;
SMM;03.12.1903 00:00;0;;
SMM;04.12.1903 00:00;0;;
SMM;05.12.1903 00:00;11.1;;
SMM;06.12.1903 00:00;17.5;;
SMM;07.12.1903 00:00;0;;
SMM;08.12.1903 00:00;0;;
SMM;09.12.1903 00:00;0;;
SMM;10.12.1903 00:00;0;;
SMM;11.12.1903 00:00;27.4;;
SMM;12.12.1903 00:00;6;;
SMM;13.12.1903 00:00;2.9;;
SMM;14.12.1903 00:00;2.2;;
SMM;15.12.1903 00:00;0;;
SMM;16.12.1903 00:00;0;;
SMM;17.12.1903 00:00;0;;
SMM;18.12.1903 00:00;0;;
SMM;19.12.1903 00:00;0;;
SMM;20.12.1903 00:00;0;;
SMM;21.12.1903 00:00;0;;
SMM;22.12.1903 00:00;0;;
SMM;23.12.1903 00:00;0;;
SMM;24.12.1903 00:00;0;;
SMM;25.12.1903 00:00;2.6;;
SMM;26.12.1903 00:00;0;;
SMM;27.12.1903 00:00;0;;
SMM;28.12.1903 00:00;0;;
SMM;29.12.1903 00:00;0.3;;
SMM;30.12.1903 00:00;0;;
SMM;31.12.1903 00:00;0.5;;
SMM;01.01.1904 00:00;0;;
SMM;02.01.1904 00:00;0;;
SMM;03.01.1904 00:00;0;;
SMM;04.01.1904 00:00;1.6;;
SMM;05.01.1904 00:00;0.3;;
SMM;06.01.1904 00:00;0;;
SMM;07.01.1904 00:00;0;;
SMM;08.01.1904 00:00;0;;
SMM;09.01.1904 00:00;0;;
SMM;10.01.1904 00:00;0.2;;
SMM;11.01.1904 00:00;0;;
SMM;12.01.1904 00:00;0;;
SMM;13.01.1904 00:00;0;;
SMM;14.01.1904 00:00;3.2;;
SMM;15.01.1904 00:00;0;;
SMM;16.01.1904 00:00;0;;
SMM;17.01.1904 00:00;0;;
SMM;18.01.1904 00:00;0;;
SMM;19.01.1904 00:00;0;;
SMM;20.01.1904 00:00;0.2;;
SMM;21.01.1904 00:00;0;;
SMM;22.01.1904 00:00;0;;
SMM;23.01.1904 00:00;0;;
SMM;24.01.1904 00:00;0;;
SMM;25.01.1904 00:00;0;;
SMM;26.01.1904 00:00;0;;
SMM;27.01.1904 00:00;0;;
SMM;28.01.1904 00:00;0;;
SMM;29.01.1904 00:00;0;;
SMM;30.01.1904 00:00;0;;
SMM;31.01.1904 00:00;4.5;;
SMM;01.02.1904 00:00;1.5;;
SMM;02.02.1904 00:00;11.9;;
SMM;03.02.1904 00:00;6.2;;
SMM;04.02.1904 00:00;15.2;;
SMM;05.02.1904 00:00;6.7;;
SMM;06.02.1904 00:00;0;;
SMM;07.02.1904 00:00;0;;
SMM;08.02.1904 00:00;9.9;;
SMM;09.02.1904 00:00;4.6;;
SMM;10.02.1904 00:00;2.3;;
SMM;11.02.1904 00:00;3.2;;
SMM;12.02.1904 00:00;1.5;;
SMM;13.02.1904 00:00;2.2;;
SMM;14.02.1904 00:00;6.8;;
SMM;15.02.1904 00:00;0.9;;
SMM;16.02.1904 00:00;5;;
SMM;17.02.1904 00:00;7.5;;
SMM;18.02.1904 00:00;0;;
SMM;19.02.1904 00:00;0;;
SMM;20.02.1904 00:00;0;;
SMM;21.02.1904 00:00;0;;
SMM;22.02.1904 00:00;0;;
SMM;23.02.1904 00:00;0;;
SMM;24.02.1904 00:00;0;;
SMM;25.02.1904 00:00;0;;
SMM;26.02.1904 00:00;0;;
SMM;27.02.1904 00:00;0;;
SMM;28.02.1904 00:00;0;;
SMM;29.02.1904 00:00;4.4;;
SMM;01.03.1904 00:00;19.5;;
SMM;02.03.1904 00:00;0;;
SMM;03.03.1904 00:00;0;;
SMM;04.03.1904 00:00;0;;
SMM;05.03.1904 00:00;0;;
SMM;06.03.1904 00:00;0;;
SMM;07.03.1904 00:00;0;;
SMM;08.03.1904 00:00;9.8;;
SMM;09.03.1904 00:00;2.5;;
SMM;10.03.1904 00:00;6;;
SMM;11.03.1904 00:00;2.5;;
SMM;12.03.1904 00:00;2.2;;
SMM;13.03.1904 00:00;0;;
SMM;14.03.1904 00:00;0;;
SMM;15.03.1904 00:00;0;;
SMM;16.03.1904 00:00;0;;
SMM;17.03.1904 00:00;0.4;;
SMM;18.03.1904 00:00;0;;
SMM;19.03.1904 00:00;0;;
SMM;20.03.1904 00:00;0;;
SMM;21.03.1904 00:00;0;;
SMM;22.03.1904 00:00;0;;
SMM;23.03.1904 00:00;10.2;;
SMM;24.03.1904 00:00;4;;
SMM;25.03.1904 00:00;19.8;;
SMM;26.03.1904 00:00;7.2;;
SMM;27.03.1904 00:00;0.5;;
SMM;28.03.1904 00:00;0;;
SMM;29.03.1904 00:00;0;;
SMM;30.03.1904 00:00;14.2;;
SMM;31.03.1904 00:00;0;;
SMM;01.04.1904 00:00;0.6;;
SMM;02.04.1904 00:00;0;;
SMM;03.04.1904 00:00;0;;
SMM;04.04.1904 00:00;0.3;;
SMM;05.04.1904 00:00;0;;
SMM;06.04.1904 00:00;0;;
SMM;07.04.1904 00:00;0.8;;
SMM;08.04.1904 00:00;0.2;;
SMM;09.04.1904 00:00;0;;
SMM;10.04.1904 00:00;0;;
SMM;11.04.1904 00:00;0;;
SMM;12.04.1904 00:00;0;;
SMM;13.04.1904 00:00;0;;
SMM;14.04.1904 00:00;0;;
SMM;15.04.1904 00:00;0.1;;
SMM;16.04.1904 00:00;5.1;;
SMM;17.04.1904 00:00;1.4;;
SMM;18.04.1904 00:00;1;;
SMM;19.04.1904 00:00;0.5;;
SMM;20.04.1904 00:00;0;;
SMM;21.04.1904 00:00;0;;
SMM;22.04.1904 00:00;1.3;;
SMM;23.04.1904 00:00;2.1;;
SMM;24.04.1904 00:00;0;;
SMM;25.04.1904 00:00;0.7;;
SMM;26.04.1904 00:00;5.7;;
SMM;27.04.1904 00:00;0;;
SMM;28.04.1904 00:00;0;;
SMM;29.04.1904 00:00;0;;
SMM;30.04.1904 00:00;0;;
SMM;01.05.1904 00:00;0;;
SMM;02.05.1904 00:00;0;;
SMM;03.05.1904 00:00;0.7;;
SMM;04.05.1904 00:00;2.5;;
SMM;05.05.1904 00:00;0;;
SMM;06.05.1904 00:00;7.4;;
SMM;07.05.1904 00:00;23.2;;
SMM;08.05.1904 00:00;0;;
SMM;09.05.1904 00:00;0.2;;
SMM;10.05.1904 00:00;0;;
SMM;11.05.1904 00:00;0.1;;
SMM;12.05.1904 00:00;0;;
SMM;13.05.1904 00:00;0;;
SMM;14.05.1904 00:00;0;;
SMM;15.05.1904 00:00;0;;
SMM;16.05.1904 00:00;0;;
SMM;17.05.1904 00:00;0;;
SMM;18.05.1904 00:00;0.6;;
SMM;19.05.1904 00:00;0.1;;
SMM;20.05.1904 00:00;0;;
SMM;21.05.1904 00:00;8;;
SMM;22.05.1904 00:00;4.2;;
SMM;23.05.1904 00:00;21.8;;
SMM;24.05.1904 00:00;0;;
SMM;25.05.1904 00:00;0;;
SMM;26.05.1904 00:00;0.1;;
SMM;27.05.1904 00:00;1.8;;
SMM;28.05.1904 00:00;5;;
SMM;29.05.1904 00:00;0.2;;
SMM;30.05.1904 00:00;0.1;;
SMM;31.05.1904 00:00;0;;
SMM;01.06.1904 00:00;5.8;;
SMM;02.06.1904 00:00;4.2;;
SMM;03.06.1904 00:00;1.2;;
SMM;04.06.1904 00:00;0.1;;
SMM;05.06.1904 00:00;0;;
SMM;06.06.1904 00:00;0;;
SMM;07.06.1904 00:00;0;;
SMM;08.06.1904 00:00;0.1;;
SMM;09.06.1904 00:00;3.8;;
SMM;10.06.1904 00:00;2.3;;
SMM;11.06.1904 00:00;3.1;;
SMM;12.06.1904 00:00;14.7;;
SMM;13.06.1904 00:00;0;;
SMM;14.06.1904 00:00;0;;
SMM;15.06.1904 00:00;0;;
SMM;16.06.1904 00:00;0;;
SMM;17.06.1904 00:00;0;;
SMM;18.06.1904 00:00;9;;
SMM;19.06.1904 00:00;0;;
SMM;20.06.1904 00:00;4.8;;
SMM;21.06.1904 00:00;0;;
SMM;22.06.1904 00:00;0;;
SMM;23.06.1904 00:00;0;;
SMM;24.06.1904 00:00;0;;
SMM;25.06.1904 00:00;0;;
SMM;26.06.1904 00:00;1.9;;
SMM;27.06.1904 00:00;0.6;;
SMM;28.06.1904 00:00;0;;
SMM;29.06.1904 00:00;0;;
SMM;30.06.1904 00:00;0;;
SMM;01.07.1904 00:00;1.8;;
SMM;02.07.1904 00:00;0;;
SMM;03.07.1904 00:00;0;;
SMM;04.07.1904 00:00;0;;
SMM;05.07.1904 00:00;4.7;;
SMM;06.07.1904 00:00;0;;
SMM;07.07.1904 00:00;0;;
SMM;08.07.1904 00:00;0;;
SMM;09.07.1904 00:00;0;;
SMM;10.07.1904 00:00;0;;
SMM;11.07.1904 00:00;1.1;;
SMM;12.07.1904 00:00;11.7;;
SMM;13.07.1904 00:00;5;;
SMM;14.07.1904 00:00;2.9;;
SMM;15.07.1904 00:00;1.8;;
SMM;16.07.1904 00:00;0;;
SMM;17.07.1904 00:00;0.1;;
SMM;18.07.1904 00:00;8.9;;
SMM;19.07.1904 00:00;0;;
SMM;20.07.1904 00:00;0;;
SMM;21.07.1904 00:00;1.1;;
SMM;22.07.1904 00:00;0;;
SMM;23.07.1904 00:00;0;;
SMM;24.07.1904 00:00;4.4;;
SMM;25.07.1904 00:00;1.9;;
SMM;26.07.1904 00:00;0.5;;
SMM;27.07.1904 00:00;1;;
SMM;28.07.1904 00:00;0;;
SMM;29.07.1904 00:00;0;;
SMM;30.07.1904 00:00;0;;
SMM;31.07.1904 00:00;0;;
SMM;01.08.1904 00:00;5.6;;
SMM;02.08.1904 00:00;2.9;;
SMM;03.08.1904 00:00;0;;
SMM;04.08.1904 00:00;0;;
SMM;05.08.1904 00:00;3.7;;
SMM;06.08.1904 00:00;0;;
SMM;07.08.1904 00:00;0.5;;
SMM;08.08.1904 00:00;0;;
SMM;09.08.1904 00:00;0.2;;
SMM;10.08.1904 00:00;2.6;;
SMM;11.08.1904 00:00;7.2;;
SMM;12.08.1904 00:00;0;;
SMM;13.08.1904 00:00;0;;
SMM;14.08.1904 00:00;0;;
SMM;15.08.1904 00:00;0;;
SMM;16.08.1904 00:00;0;;
SMM;17.08.1904 00:00;4.8;;
SMM;18.08.1904 00:00;3.9;;
